STRUCTURE_NUMBER_008,LOCATION_009,"coordinates (lat, lon)",ADT_029,PERCENT_ADT_TRUCK_109,ADTT,SLF,ADTT_SL,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,EFFECTIVE_YEAR,AGE,STRUCTURE_KIND_043A,AM_years,AE_years,Risk_Index
1.8057E+14,0.3 Mi E of Preston St,"32.464371, -96.46558",194353,17.0,33040.01,1.0,33040.01,1961,1971.0,1971.0,54.0,4,1.3267434373765700,0.6633717186882840,0.99999995528752
1.8057E+14,0.75 MI S OF IH 20,"32.391944, -96.42576",95059,23.0,21863.57,1.0,21863.57,1954,1973.0,1973.0,52.0,4,2.004961515358940,1.002480757679470,0.9999986790764530
1.5015E+14,2.7 Mi SW of SH 16,"29.271143, -98.374831",172438,16.0,27590.08,1.0,27590.08,1956,1988.0,1988.0,37.0,4,1.5888180258395800,0.7944090129197910,0.9999972072236720
1.2102E+14,0.30 MI N OF DALLAS ST,"29.454397, -95.222007",230232,7.0,16116.240000000000,1.0,16116.240000000000,1962,0.0,1962.0,63.0,3,2.71996547819815,1.359982739099080,0.9999971019177590
1.5163E+14,2.84 MI NE OF FRIO C/L,"29.070347, -98.551122",33903,50.0,16951.5,1.0,16951.5,1968,0.0,1968.0,57.0,4,2.5859432167275000,1.2929716083637500,0.9999959438661610
1.5163E+14,4.63 MI NE OF FRIO C/L,"29.074997, -98.534333",33084,51.0,16872.84,1.0,16872.84,1968,0.0,1968.0,57.0,4,2.5979987031440000,1.2989993515720000,0.9999958148965320
1.5163E+14,2.81 MI NE OF FRIO C/L,"29.070239, -98.551162",33084,51.0,16872.84,1.0,16872.84,1968,0.0,1968.0,57.0,4,2.5979987031440000,1.2989993515720000,0.9999958148965320
1.5163E+14,4.63 MI NE OF FRIO C/L,"29.074918, -98.534269",33084,51.0,16872.84,1.0,16872.84,1968,0.0,1968.0,57.0,4,2.5979987031440000,1.2989993515720000,0.9999958148965320
1.5015E+14,1.90 MI E OF IH 35,"29.233902, -98.285255",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,1.90 MI E OF IH 35,"29.23385, -98.285247",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,1.60 MI E OF IH 35,"29.233959, -98.290963",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,IH 10 @ IH 37,"29.234209, -98.284245",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,IH 10 @ IH 37,"29.2342, -98.284145",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,1.10 MI E OF IH 37,"29.234422, -98.292968",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,1.10 MI E OF IH 37,"29.234302, -98.292725",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,1.60 MI E OF IH 35,"29.234027, -98.290953",156508,10.0,15650.8,1.0,15650.8,1967,0.0,1967.0,58.0,4,2.800854680805850,1.400427340402920,0.9999938475340310
1.5015E+14,0.90 MI E OF IH 35,"29.234588, -98.295173",154438,10.0,15443.8,1.0,15443.8,1967,0.0,1967.0,58.0,4,2.838395760004410,1.419197880002210,0.9999932827384110
1.5015E+14,0.90 MI E OF IH 35,"29.23466, -98.294991",154438,10.0,15443.8,1.0,15443.8,1967,0.0,1967.0,58.0,4,2.838395760004410,1.419197880002210,0.9999932827384110
1.8057E+14,1.0 MI E OF IH 35E,"32.383251, -96.48207",76105,20.0,15221.0,1.0,15221.0,1971,0.0,1971.0,54.0,4,2.879943265117680,1.4399716325588400,0.9999882554051610
1.8057E+14,1.0 MI E OF IH 35E,"32.383146, -96.482061",76105,20.0,15221.0,1.0,15221.0,1971,0.0,1971.0,54.0,4,2.879943265117680,1.4399716325588400,0.9999882554051610
1.5015E+14,1.4 MI E OF IH 37/US 281,"29.261999, -98.271817",144783,9.0,13030.47,1.0,13030.47,1962,0.0,1962.0,63.0,4,3.364085596172370,1.6820427980861800,0.9999881620622510
1.5015E+14,2.45 MI E OF IH 37/US 281,"29.263051, -98.261697",144783,9.0,13030.47,1.0,13030.47,1962,0.0,1962.0,63.0,4,3.364085596172370,1.6820427980861800,0.9999881620622510
1.5015E+14,2.20 MI E OF IH 37/US 281,"29.262463, -98.262985",144783,9.0,13030.47,1.0,13030.47,1962,0.0,1962.0,63.0,4,3.364085596172370,1.6820427980861800,0.9999881620622510
1.5015E+14,2.45 MI E OF IH 37/US 281,"29.2631, -98.261726",144783,9.0,13030.47,1.0,13030.47,1962,0.0,1962.0,63.0,4,3.364085596172370,1.6820427980861800,0.9999881620622510
1.5015E+14,2.20 MI E OF IH 37/US 281,"29.262525, -98.262972",144783,9.0,13030.47,1.0,13030.47,1962,0.0,1962.0,63.0,4,3.364085596172370,1.6820427980861800,0.9999881620622510
1.4227E+14,5.85 MI S OF US 183,"30.154088, -97.441008",129685,10.0,12968.5,1.0,12968.5,1962,0.0,1962.0,63.0,4,3.380160885095130,1.690080442547560,0.9999877950668990
1.4227E+14,5.70 MI S OF US 183,"30.154923, -97.440742",143744,9.0,12936.96,1.0,12936.96,1962,0.0,1962.0,63.0,4,3.3884016367335300,1.6942008183667600,0.9999876034569410
1.8057E+14,1.45 MI N OF IH 30,"32.503739, -96.380531",106670,13.0,13867.1,1.0,13867.1,1968,0.0,1968.0,57.0,4,3.1611235541934600,1.5805617770967300,0.9999849330842210
1.8057E+14,0.45 Mi N of SH 114,"32.510469, -96.54275",127344,11.0,14007.84,1.0,14007.84,1969,0.0,1969.0,56.0,4,3.129363016593290,1.5646815082966500,0.999984190823573
1.5015E+14,1.75 MI S OF IH 410,"29.175639, -98.37477",53013,29.0,15373.77,1.0,15373.77,1955,1974.0,1974.0,51.0,4,2.8513251101295400,1.4256625550647700,0.9999841427635260
1.5015E+14,1.75 MI S OF IH 410,"29.1755, -98.374681",53013,29.0,15373.77,1.0,15373.77,1937,1974.0,1974.0,51.0,3,2.8513251101295400,1.4256625550647700,0.9999841427635260
1.8057E+14,At IH30/IH345 Interchage,"32.465615, -96.471446",84500,17.0,14365.000000000000,1.0,14365.000000000000,1971,0.0,1971.0,54.0,4,3.051557009283410,1.525778504641700,0.9999830346520170
1.8057E+14,0.3 Mi E of Preston St,"32.464402, -96.465384",84500,17.0,14365.000000000000,1.0,14365.000000000000,1961,1971.0,1971.0,54.0,4,3.051557009283410,1.525778504641700,0.9999830346520170
1.8057E+14,A IH30/IH345 Interchange,"32.46534, -96.470915",84500,17.0,14365.000000000000,1.0,14365.000000000000,1971,0.0,1971.0,54.0,4,3.051557009283410,1.525778504641700,0.9999830346520170
1.8199E+14,0.62 MI SW OF FM 35,"32.580929, -96.195509",75013,27.0,20253.51,1.0,20253.51,1956,1987.0,1987.0,38.0,4,2.1643466460063500,1.0821733230031800,0.9999821745105870
1.217E+14,AT HARRIS C/L,"30.064043, -95.26114",243893,9.0,21950.37,1.0,21950.37,1990,0.0,1990.0,35.0,4,1.997033145152280,0.998516572576138,0.9999819739134590
1.8057E+14,1.2 Mi NW of Inwood Rd,"32.485753, -96.520496",116054,10.0,11605.4,1.0,11605.4,1959,0.0,1959.0,66.0,4,3.7771741119096400,1.8885870559548200,0.9999816306150700
1.8057E+14,1.45 MI N OF IH 30,"32.503811, -96.380465",102343,13.0,13304.59,1.0,13304.59,1968,0.0,1968.0,57.0,4,3.2947739418017500,1.6473869709008800,0.999980447970799
1.8057E+14,3.3 MI E OF IH 45,"32.404361, -96.403367",65119,21.0,13674.99,1.0,13674.99,1970,0.0,1970.0,55.0,4,3.205531882535650,1.602765941267820,0.999979413425587
2.22001E+13,0.6 Mi E of Montgomery St,"32.440258, -97.213678",131220,14.0,18370.800000000000,1.0,18370.800000000000,1951,1985.0,1985.0,40.0,4,2.3861571863150300,1.1930785931575200,0.9999762132789080
1.5015E+14,0.70 MI E OF IH 37,"29.240433, -98.281033",107064,12.0,12847.68,1.0,12847.68,1968,0.0,1968.0,57.0,4,3.4119480278428600,1.7059740139214300,0.999975703624004
1.5015E+14,0.40 MI E OF IH 37,"29.235775, -98.282426",107064,12.0,12847.68,1.0,12847.68,1968,0.0,1968.0,57.0,4,3.4119480278428600,1.7059740139214300,0.999975703624004
1.5015E+14,0.70 MI E OF IH 37,"29.240496, -98.281053",107064,12.0,12847.68,1.0,12847.68,1968,0.0,1968.0,57.0,4,3.4119480278428600,1.7059740139214300,0.999975703624004
1.5015E+14,0.40 MI E OF IH 37,"29.235652, -98.282465",107064,12.0,12847.68,1.0,12847.68,1968,0.0,1968.0,57.0,4,3.4119480278428600,1.7059740139214300,0.999975703624004
1.8057E+14,0.9 Mi. N of Loop 12,"32.523119, -96.535325",114583,10.0,11458.3,1.0,11458.3,1962,0.0,1962.0,63.0,4,3.8256649274636,1.9128324637318,0.9999734526691670
1.8057E+14,0.9 Mi. N of Loop 12,"32.523115, -96.535237",114583,10.0,11458.3,1.0,11458.3,1962,0.0,1962.0,63.0,4,3.8256649274636,1.9128324637318,0.9999734526691670
2.0124E+14,0.3 MI E OF US 69,"30.054587, -94.074812",111265,18.0,20027.7,1.0,20027.7,1958,1989.0,1989.0,36.0,4,2.1887494039932800,1.0943747019966400,0.99997325367709
1.8057E+14,1.6 MI W OF US 175,"32.40579, -96.392609",62362,21.0,13096.02,1.0,13096.02,1970,0.0,1970.0,55.0,4,3.347247212386370,1.6736236061931900,0.9999730897211840
1.8057E+14,1.6 MI W OF US 175,"32.405925, -96.392484",62362,21.0,13096.02,1.0,13096.02,1970,0.0,1970.0,55.0,4,3.347247212386370,1.6736236061931900,0.9999730897211840
1.8057E+14,3.3 MI E OF IH 45,"32.404456, -96.403426",62362,21.0,13096.02,1.0,13096.02,1970,0.0,1970.0,55.0,4,3.347247212386370,1.6736236061931900,0.9999730897211840
1.8057E+14,2.6 MI NW OF IH 30,"32.512189, -96.385486",93760,13.0,12188.8,1.0,12188.8,1967,0.0,1967.0,58.0,4,3.596384913884560,1.7981924569422800,0.9999698244186310
1.8057E+14,2.6 MI NW OF IH 30,"32.512139, -96.385573",93760,13.0,12188.8,1.0,12188.8,1967,0.0,1967.0,58.0,4,3.596384913884560,1.7981924569422800,0.9999698244186310
1.5015E+14,0.32 MI E OF LOOP 13,"29.255825, -98.240081",87899,13.0,11426.87,1.0,11426.87,1964,0.0,1964.0,61.0,4,3.836187550777790,1.918093775388890,0.9999671112488350
1.5015E+14,0.90 MI SW OF IH 410,"29.255443, -98.241982",87899,13.0,11426.87,1.0,11426.87,1964,0.0,1964.0,61.0,4,3.836187550777790,1.918093775388890,0.9999671112488350
1.5015E+14,0.32 MI E OF LOOP 13,"29.25588, -98.240136",87899,13.0,11426.87,1.0,11426.87,1964,0.0,1964.0,61.0,4,3.836187550777790,1.918093775388890,0.9999671112488350
1.5015E+14,0.90 MI SW OF IH 410,"29.255374, -98.242004",87098,13.0,11322.74,1.0,11322.74,1964,0.0,1964.0,61.0,4,3.871467192424820,1.935733596212410,0.999965230403513
1.8057E+14,0.3 MI E OF IH 45,"32.395018, -96.432157",69471,19.0,13199.49,1.0,13199.49,1973,0.0,1973.0,52.0,4,3.321008344894850,1.6605041724474300,0.9999638850458210
1.8057E+14,AT INT IH 20 & IH 45,"32.394291, -96.433601",69471,19.0,13199.49,1.0,13199.49,1973,0.0,1973.0,52.0,4,3.321008344894850,1.6605041724474300,0.9999638850458210
1.8057E+14,0.3 MI E OF IH 45,"32.394919, -96.432121",69471,19.0,13199.49,1.0,13199.49,1973,0.0,1973.0,52.0,4,3.321008344894850,1.6605041724474300,0.9999638850458210
1.5015E+14,0.60 MI E OF IH 37,"29.243252, -98.261233",92383,13.0,12009.79,1.0,12009.79,1968,0.0,1968.0,57.0,4,3.6499902528150900,1.8249951264075500,0.9999633016268860
1.5015E+14,1.90 MI SW OF IH 410,"29.252942, -98.251745",92383,13.0,12009.79,1.0,12009.79,1968,0.0,1968.0,57.0,4,3.6499902528150900,1.8249951264075500,0.9999633016268860
1.5015E+14,1.90 MI SW OF IH 410,"29.252931, -98.251665",92383,13.0,12009.79,1.0,12009.79,1968,0.0,1968.0,57.0,4,3.6499902528150900,1.8249951264075500,0.9999633016268860
1.5015E+14,1.45 MI E OF US 87,"29.2505, -98.253592",92383,13.0,12009.79,1.0,12009.79,1968,0.0,1968.0,57.0,4,3.6499902528150900,1.8249951264075500,0.9999633016268860
