STRUCTURE_NUMBER_008,LOCATION_009,ADT_029,PERCENT_ADT_TRUCK_109,LAT_016,LONG_017,INVENTORY_RATING_066,YEAR_BUILT_027,SUPERSTRUCTURE_COND_059,FUNCTIONAL_CLASS_026,r_i_lb,d_i,N_i,V_age_overload,V_elem_overload,Risk_Index
91100000000000.0,'1.2 MI S OF US 77',810110,36.0,32.02738333333333,-97.09548333333333,32.7,2007,N,11,65400.00000000001,35.04840623999998,102215.031764711,0.75,1.0,76661.27382353324
22200000000000.0,'.9 MI N OF US287 OVER I35',185654,33.0,32.89989444444444,-97.31723333333333,23.6,1967,N,11,47200.0,66.06218176,40473.53736515444,1.25,1.0,50591.92170644304
61650000000000.0,'IH 20 at SH 349',244794,35.0,31.972477777777776,-102.07396944444444,32.7,1965,6,11,65400.00000000001,35.04840623999998,30028.73844990094,1.25,1.025,38474.32113893558
142460000000000.0,'0.3 MI S OF SH 29',517256,14.0,30.625933333333332,-97.69112222222222,32.7,1965,6,11,65400.00000000001,35.04840623999998,25380.597785308404,1.25,1.025,32518.89091242639
180570000000000.0,'0.3 Mi E of Preston St',194353,17.0,32.77880833333333,-96.78216666666667,20.0,1961,6,11,40000.0,75.7096,25014.459410960004,1.25,1.025,32049.776120292503
180570000000000.0,'0.7 MI  W OF SH 342',152210,20.0,32.64385277777778,-96.79375833333333,23.6,1971,N,11,47200.0,66.06218176,20110.6493713792,1.5428571428571427,1.0,31027.859030127907
180570000000000.0,'0.85 MI E OF IH 45',138942,21.0,32.66793611111111,-96.71438333333333,23.6,1971,N,11,47200.0,66.06218176,19275.504482005632,1.5428571428571427,1.0,29739.34977223726
180570000000000.0,'1.6 MI E OF IH 45',138942,21.0,32.67314722222222,-96.70404166666667,23.6,1971,N,11,47200.0,66.06218176,19275.504482005632,1.5428571428571427,1.0,29739.34977223726
91100000000000.0,'2.5 MI S OF IH 35E/IH 35W',84716,40.0,32.01452777777778,-97.09615,23.6,1964,N,11,47200.0,66.06218176,22386.09515992065,1.25,1.0,27982.618949900807
180570000000000.0,'0.53 MI N OF US 80',209787,13.0,32.80022222222222,-96.6262611111111,23.6,1971,N,11,47200.0,66.06218176,18016.68300235065,1.5428571428571427,1.0,27797.16806076958
91610000000000.0,'0.70 Mi N  of LP 340 N',77498,32.0,31.61328055555556,-97.10219166666666,23.6,1972,N,11,47200.0,66.06218176,16382.99827851674,1.5142857142857142,1.0,24808.540250325343
91100000000000.0,'2.3 MI N OF FM 1242',79390,37.0,31.915274999999998,-97.09559444444444,23.6,1941,N,1,47200.0,66.06218176,19405.30345672768,1.25,1.0,24256.6293209096
91100000000000.0,'5.0 MI N OF FM 1242',79390,37.0,31.951316666666667,-97.11286388888888,23.6,1941,N,11,47200.0,66.06218176,19405.30345672768,1.25,1.0,24256.6293209096
91100000000000.0,'0.4 MI S OF SH 22',78491,37.0,32.003347222222224,-97.09564999999999,23.6,1964,N,11,47200.0,66.06218176,19185.56082153939,1.25,1.0,23981.95102692424
91100000000000.0,'0.6 MI N OF FM 310',77917,37.0,31.965577777777778,-97.11920833333333,23.6,1941,N,1,47200.0,66.06218176,19045.257959917504,1.25,1.0,23806.57244989688
91100000000000.0,'0.7 MI S OF FM 3267',77235,37.0,31.991025,-97.10426666666666,23.6,1964,N,11,47200.0,66.06218176,18878.55665046432,1.25,1.0,23598.1958130804
91100000000000.0,'0.5 MI S OF SH 22',77203,37.0,32.00129166666667,-97.09661666666666,23.6,1964,N,11,47200.0,66.06218176,18870.73488814394,1.25,1.0,23588.418610179924
150150000000000.0,'0.87 MI N E OF LP 1604',203627,14.0,29.576705555555556,-98.32265833333334,23.6,1933,N,11,47200.0,66.06218176,18832.86143934093,1.25,1.0,23541.07679917616
