STATE_CODE_001,STRUCTURE_NUMBER_008,LOCATION_009,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,"coordinates (lat, lon)",ADT,TRUCK_PCT,ADTT,EFFECTIVE_YEAR,AGE,SLF,ADTT_SL,NOTE,Pf_fatigue,AM_years,AE_years,Risk_Level,Risk_Explanation,Street_View_URL
48,150150002502165.00,'1.90 MI E  OF IH 35',1967,156508,2023,"29.394172, -98.481264",156508,10,15650.8,1967,58,0.5,7825.4,,1,9.859008476,8.010444387,Top 20,"The bridge at 1.90 MI E OF IH 35 has a high fatigue cracking risk, ranked #1 in its region. It experiences 7,825 trucks per day, which is very heavy, contributing significantly to fatigue damage. The bridge is 58 years old, and its median fatigue life is 9.9 years, meaning it has already exceeded its expected lifespan. This combination of high traffic volume and age increases the likelihood of crack initiation, leading to a very high risk score.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.394172,-98.481264"
48,150150002502168.00,'IH 10 @ IH 37',1967,156508,2023,"29.395025, -98.478458",156508,10,15650.8,1967,58,0.5,7825.4,,1,9.859008476,8.010444387,Top 20,"The bridge at IH 10 @ IH 37 has a high fatigue cracking risk, ranked #2 in the region. It experiences over 7,800 trucks per day, which is considered very heavy traffic. The bridge is 58 years old, and its estimated fatigue life is 9.9 years, which has already been exceeded. This means the bridge is likely to develop cracks due to repeated traffic loads, increasing the risk of structural failure.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.395025,-98.478458"
48,151630001705234.00,'2.84 MI NE OF FRIO C/L',1968,33903,2023,"29.117631, -98.919783",33903,50,16951.5,1968,57,0.5,8475.75,,1,9.102520123,7.3957976,Top 20,"The bridge at '2.84 MI NE OF FRIO C/L' has a fatigue cracking risk score of #3, indicating a high level of vulnerability. The average daily truck traffic (ADTT_SL) is 8,476 trucks per day, which is classified as very heavy (≥2,000 trucks/day). This high traffic volume significantly increases the risk of fatigue cracking, as the bridge has already exceeded its median fatigue life of 9.1 years by 57 years. The probability of crack initiation is extremely high, leading to a top-tier risk classification.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.117631,-98.919783"
48,151630001705233.00,'2.81 MI NE OF FRIO C/L',1968,33084,2023,"29.117331, -98.919894",33084,51,16872.84,1968,57,0.5,8436.42,,1,9.144955435,7.430276291,Top 20,"The bridge at '2.81 MI NE OF FRIO C/L' has a fatigue cracking risk score of #4, indicating a high level of vulnerability. It serves a very heavy traffic volume of 8,436 trucks per day, which significantly increases fatigue damage over time. The bridge is 57 years old, and its median fatigue life, based on standard assumptions, is 9.1 years—meaning it has already exceeded its expected lifespan for fatigue cracking. This combination of high traffic volume and age contributes to the elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.117331,-98.919894"
48,151630001705229.00,'4.63 MI NE OF FRIO C/L',1968,33084,2023,"29.130547, -98.895369",33084,51,16872.84,1968,57,0.5,8436.42,,1,9.144955435,7.430276291,Top 20,"The bridge at '4.63 MI NE OF FRIO C/L' has a fatigue cracking risk score of #5, indicating a high vulnerability to fatigue damage. The average daily truck traffic (ADTT_SL) is 8,436 trucks/day, which is classified as very heavy (≥2,000 trucks/day), significantly contributing to accelerated fatigue damage. The bridge is 57 years old, and the calculated median fatigue life is 9.1 years, which has been exceeded, suggesting a high likelihood of crack initiation. The risk is further elevated due to the bridge's age and high traffic volume, which are primary drivers of the elevated risk score.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.130547,-98.895369"
48,151630001705228.00,'4.63 MI NE OF FRIO C/L',1968,33084,2023,"29.130328, -98.895192",33084,51,16872.84,1968,57,0.5,8436.42,,1,9.144955435,7.430276291,Top 20,"The bridge at ""4.63 MI NE OF FRIO C/L"" has a fatigue cracking risk score of #6, indicating a high vulnerability to crack initiation. The annual average daily truck traffic (ADTT_SL) is 8,436 trucks per day, which is classified as ""very heavy"" and significantly contributes to fatigue damage. The bridge is 57 years old, and the calculated median fatigue life (A_M) is 9.1 years, which has been exceeded, suggesting a high probability of crack initiation. The risk is further elevated due to the high truck volume and the bridge's age, which together increase the likelihood of structural failure over time.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.130328,-98.895192"
48,180570009214193.00,'At IH30/IH345 Interchage',1971,84500,2016,"32.782264, -96.78735",84500,17,14365,1971,54,1,14365,,1,5.370740336,4.363726523,Top 20,"The bridge at the IH30/IH345 interchange has a high fatigue cracking risk, ranked #7 for this vulnerability. It experiences over 14,000 trucks per day, which is considered very heavy and significantly increases fatigue damage. The bridge is 54 years old, and its median fatigue life is 5.4 years, meaning it has already exceeded its expected lifespan. This combination of high traffic volume and age contributes to a high risk of crack initiation.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.782264,-96.787350"
48,180570019603205.00,'1.0 Mi N of SP 366',1967,146500,2012,"32.797644, -96.814978",146500,6,8790,1967,58,1,8790,,1,8.777097262,7.131391525,Top 20,"The bridge at '1.0 Mi N of SP 366' has a fatigue cracking risk score of #8, indicating it is among the most vulnerable in the region. The bridge is over 58 years old, and it experiences a very heavy traffic volume of 8,790 trucks per day, which significantly accelerates crack formation. The calculated median fatigue life of 8.8 years has been exceeded, meaning the bridge is likely to develop cracks due to repeated stress from heavy traffic.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.797644,-96.814978"
48,180570000911347.00,'0.3 Mi E of Preston St',1961,194353,2023,"32.778808, -96.782167",194353,17,33040.01,1971,54,0.5,16520.005,,1,4.6701369,3.794486231,Top 20,"The bridge at '0.3 Mi E of Preston St' has a fatigue cracking risk score of #9, indicating it is among the most vulnerable in the region. The bridge is over 54 years old, and its median fatigue life, based on the probabilistic model, is 4.7 years, which has been exceeded. With an average daily truck traffic of 16,520 vehicles—well above the threshold of 2,000 trucks/day—it is classified as ""very heavy,"" which significantly accelerates fatigue damage. These factors combine to make the bridge highly susceptible to crack initiation.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.778808,-96.782167"
48,150150001702046.00,'1.75 MI S OF IH 410',1937,53013,2022,"29.298611, -98.629669",53013,29,15373.77,1974,51,0.5,7686.885,,1,10.03666439,8.154789815,Top 20,"The bridge at '1.75 MI S OF IH 410' has a fatigue cracking risk score of #10, indicating it is among the most vulnerable in the region. With an average daily truck traffic of 7,687 vehicles, which is classified as ""very heavy,"" the bridge is subjected to higher-than-average traffic loads. The calculated median fatigue life is 10 years, but the bridge is already 51 years old, meaning it has already exceeded its expected fatigue life. This combination of high traffic volume and age significantly increases the likelihood of crack initiation, contributing to the elevated risk score.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.298611,-98.629669"
